證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"8110","華東","1,274,057","9,852,013","7.80","7.80","7.60","7.74","+0.54","434"
"8112","至上","4,976,840","145,424,166","29.40","29.50","28.95","29.00","+0.60","2,919"
"8114","振樺電","162,510","11,609,423","69.00","72.50","69.00","71.60","+4.40","155"
"8131","福懋科","1,090,349","34,946,057","31.85","32.60","31.05","31.70","+0.75","623"
"8150","南茂","11,937,012","320,164,529","26.50","27.20","26.45","26.55","+0.75","5,848"
"8163","達方","2,244,963","66,959,409","29.70","30.15","29.55","29.60","+0.90","1,310"
"8201","無敵","93,786","647,092","7.12","7.12","6.77","6.92","+0.35","52"
"8210","勤誠","2,740,469","207,776,689","76.00","77.90","73.40","74.40","+1.50","1,993"
"8213","志超","5,898,644","167,731,299","27.85","29.20","27.70","29.20","+1.85","2,185"
"8215","明基材","3,705,500","52,958,270","14.30","14.70","13.85","13.85"," 0.00","1,523"
"8222","寶一","218,069","2,572,153","11.60","12.10","11.55","11.80","+0.40","143"
"8249","菱光","239,653","4,035,911","16.95","17.05","16.60","16.80","+0.55","162"
"8261","富鼎","661,808","11,594,825","17.10","17.80","17.10","17.65","+1.20","399"
"8271","宇瞻","4,127,949","150,396,592","36.00","37.25","35.35","36.60","+2.50","2,681"
"8341","日友","458,985","94,650,866","203.50","209.50","203.00","206.50","+9.50","485"
"8367","建新國際","51,043","1,054,783","20.25","20.90","20.25","20.45","+0.80","34"
"8374","羅昇","595,160","9,129,264","15.00","15.40","15.00","15.40","+1.40","170"
"8404","百和興業-KY","835,150","21,471,250","25.10","26.15","24.80","26.00","+1.85","471"
"8411","福貞-KY","135,470","1,280,968","9.87","9.87","9.40","9.45","+0.05","76"
"8422","可寧衛","649,576","90,968,495","139.50","140.50","139.50","140.50","+4.00","507"
"8427","基勝-KY","7,000","252,800","37.30","37.30","35.60","35.60","X0.00","6"
"8429","金麗-KY","666,836","4,220,457","6.25","6.40","6.25","6.30","+0.18","240"
"8442","威宏-KY","128,000","5,833,000","44.15","47.45","44.15","46.15","-0.30","67"
"8443","阿瘦","72,000","597,940","7.99","8.49","7.99","8.31","+0.41","60"
